n,concentration,raw_current,wash_current,barium_current,response,construct,measure,date,cumulative_exposure,dye,raw_intensity,corrected_intensity,method,unique_experiment_id
2,0.001,NA,NA,NA,0.020083497394503436,W311*-GFP+SUR,fluorescence,2018-05-24,9000,471.7451145510986,0.20984344554188208,0.5168309862858789,pcf,2
2,0.001,NA,NA,NA,0.04373582468290471,W311*-GFP+SUR,fluorescence,2018-05-24,9000,507.9542876453923,1.3305079621044191,2.1571733853900934,pcf,2
2,0.001,NA,NA,NA,-4.355869905197807,W311*-GFP+SUR,fluorescence,2018-05-24,9000,560.892883758269,-28.27298259759456,-46.012669662783495,pcf,2
3,0,NA,NA,NA,1,W311*-GFP+SUR,fluorescence,2018-05-24,0,471.7451145510986,14.359318286007063,14.359318286007063,pcf,3
3,0,NA,NA,NA,1,W311*-GFP+SUR,fluorescence,2018-05-24,0,507.9542876453923,20.135827737777415,20.135827737777415,pcf,3
3,0,NA,NA,NA,1,W311*-GFP+SUR,fluorescence,2018-05-24,0,560.892883758269,4.220737265054075,4.220737265054075,pcf,3
3,1e-7,NA,NA,NA,0.9426086848219295,W311*-GFP+SUR,fluorescence,2018-05-24,1000,471.7451145510986,11.536585497397736,13.535218124512602,pcf,3
3,1e-7,NA,NA,NA,0.9657916556858749,W311*-GFP+SUR,fluorescence,2018-05-24,1000,507.9542876453923,18.43884529299139,19.447014409473613,pcf,3
3,1e-7,NA,NA,NA,0.9456183824868508,W311*-GFP+SUR,fluorescence,2018-05-24,1000,560.892883758269,3.7806056683655735,3.991206745482409,pcf,3
3,0,NA,NA,NA,1.0011313915575963,W311*-GFP+SUR,fluorescence,2018-05-24,2000,471.7451145510986,10.571917050939776,14.37556429748869,pcf,3
3,0,NA,NA,NA,0.9960416691258567,W311*-GFP+SUR,fluorescence,2018-05-24,2000,507.9542876453923,18.078289243049376,20.05612346916654,pcf,3
3,0,NA,NA,NA,1.1958570997132683,W311*-GFP+SUR,fluorescence,2018-05-24,2000,560.892883758269,4.514739907774451,5.047398624439278,pcf,3
3,1e-6,NA,NA,NA,0.9741463864408493,W311*-GFP+SUR,fluorescence,2018-05-24,3000,471.7451145510986,8.991750937087067,13.98807802006779,pcf,3
3,1e-6,NA,NA,NA,0.9080261645666226,W311*-GFP+SUR,fluorescence,2018-05-24,3000,507.9542876453923,15.709217161502576,18.28385843110824,pcf,3
3,1e-6,NA,NA,NA,0.8299587099430182,W311*-GFP+SUR,fluorescence,2018-05-24,3000,560.892883758269,2.948523582234452,3.503037655512703,pcf,3
3,0,NA,NA,NA,1.0159684045769721,W311*-GFP+SUR,fluorescence,2018-05-24,4000,471.7451145510986,8.308111533586832,14.588613689847538,pcf,3
3,0,NA,NA,NA,0.9990860747347324,W311*-GFP+SUR,fluorescence,2018-05-24,4000,507.9542876453923,16.51863926866758,20.117425096070786,pcf,3
3,0,NA,NA,NA,1.1269383793057497,W311*-GFP+SUR,fluorescence,2018-05-24,4000,560.892883758269,3.7526117088692788,4.756510812955422,pcf,3
3,1e-5,NA,NA,NA,0.9028447558340976,W311*-GFP+SUR,fluorescence,2018-05-24,5000,471.7451145510986,6.630307688158996,12.96423521187414,pcf,3
3,1e-5,NA,NA,NA,0.7990949940778103,W311*-GFP+SUR,fluorescence,2018-05-24,5000,507.9542876453923,12.659307499393254,16.090439146871052,pcf,3
3,1e-5,NA,NA,NA,0.8515322806443508,W311*-GFP+SUR,fluorescence,2018-05-24,5000,560.892883758269,2.6459024350780624,3.5940940293120964,pcf,3
3,0,NA,NA,NA,0.983296445998013,W311*-GFP+SUR,fluorescence,2018-05-24,6000,471.7451145510986,6.571944017474311,14.119466637585026,pcf,3
3,0,NA,NA,NA,1.0115788180122185,W311*-GFP+SUR,fluorescence,2018-05-24,6000,507.9542876453923,15.394196801769025,20.36897682267852,pcf,3
3,0,NA,NA,NA,1.0802814038045174,W311*-GFP+SUR,fluorescence,2018-05-24,6000,560.892883758269,3.1161125043820563,4.559583977782656,pcf,3
3,1e-4,NA,NA,NA,0.64442708118053,W311*-GFP+SUR,fluorescence,2018-05-24,7000,471.7451145510986,3.970172316155663,9.253533570793744,pcf,3
3,1e-4,NA,NA,NA,0.4375209323635707,W311*-GFP+SUR,fluorescence,2018-05-24,7000,507.9542876453923,6.41184370196587,8.809846125744622,pcf,3
