n,concentration,raw_current,wash_current,barium_current,response,construct,nucleotide,method,measure,tolbutamide_response,unique_experiment_id
4,1E-05,NA,NA,NA,0.293009667329848,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,40
4,1E-06,NA,NA,NA,0.984701590674976,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,40
5,0.001,NA,NA,NA,0.009082264499785,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,41
5,0.0001,NA,NA,NA,0.014980390548873,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,41
5,1E-05,NA,NA,NA,0.47196867814073,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,41
5,1E-06,NA,NA,NA,0.961262435255452,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,41
6,0.001,NA,NA,NA,0.000234108568142,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,42
6,0.0001,NA,NA,NA,0.025899050643735,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,42
6,1E-05,NA,NA,NA,0.404299488992392,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,42
6,1E-06,NA,NA,NA,1.00002872953418,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,42
7,0.001,NA,NA,NA,0.010462984724807,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,43
7,0.0001,NA,NA,NA,0.039618923182428,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,43
7,1E-05,NA,NA,NA,0.264495861922596,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,43
7,1E-06,NA,NA,NA,0.965847038422195,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,43
1,0.001,41.1824188232422,4388.27124023438,18.8832206726074,0.005103506040389,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,44
1,0.0001,74.8395614624023,4517.35888671875,18.8832206726074,0.01243895598061,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,44
1,1E-05,658.395568847656,4589.61157226563,18.8832206726074,0.139914757338874,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,44
1,1E-06,4399.25634765625,4634.33227539062,18.8832206726074,0.949067593435123,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,44
2,0.001,70.5477294921875,1277.67895507813,16.2913341522217,0.043013261300392,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,45
2,0.0001,35.4943351745605,1225.72698974609,16.2913341522217,0.015877654122004,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,45
2,1E-05,231.55046081543,1281.19372558594,16.2913341522217,0.170178448646318,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,45
2,1E-06,1274.89892578125,1310.04925537109,16.2913341522217,0.972830829467132,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,45
3,0.001,30.4452857971191,4991.54809570313,17.7351455688477,0.002555411784822,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,46
3,0.0001,30.4708061218262,5144.44995117188,17.7351455688477,0.002484175741366,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,46
3,1E-05,149.984222412109,5136.26196289063,17.7351455688477,0.025837332022119,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,46
3,1E-06,3640.13940429687,5070.15063476563,17.7351455688477,0.716964839189009,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,46
4,0.001,81.4302062988281,2873.97497558594,80.4166412353516,0.000362822229632,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,47
4,0.0001,134.246292114258,2956.21411132812,80.4166412353516,0.018718164766022,K39R-GFP+SUR,TNP-ATP,patch_clamp,current,NA,47
